Identifier;Competency Question / Natural language sentence (fact);Answer (For Competency Questions);Status (Proposed, Accepted, Rejected, Deprecated);Comments (optional);Extracted from (provenance);Relation with other requirements (optional);Associated ontology elements (to be used after ontology  conceptualization assignment)
req-01;¿Qué es un Digimon?;Una criatura digital con atributos y estadísticas propias.;Proposed;Concepto central de la ontología.;DigiDB.csv (General);;
req-02;¿A qué etapa evolutiva (Stage) pertenece un Digimon?;Baby, In-Training, Rookie, Champion, Ultimate, Mega, Ultra o Armor.;Proposed;Define el nivel de madurez.;DigiDB.csv (Stage);req-01;
req-03;¿Qué tipo (Type) tiene un Digimon?;Vaccine, Virus, Data o Free.;Proposed;Fundamental para el triángulo de ventajas de combate.;DigiDB.csv (Type);req-01;
req-04;¿Cuál es el atributo elemental (Attribute) de un Digimon?;Fire, Water, Plant, Electric, Earth, Light, Dark o Neutral.;Proposed;Define su afinidad mágica o elemental.;DigiDB.csv (Attribute);req-01;
req-05;Un Digimon tiene una cantidad máxima de Puntos de Salud (HP) base.;;Proposed;Estadística vital.;DigiDB.csv (HP);req-01;
req-06;¿Cuál es el valor de ataque físico (Atk) de un Digimon?;Un valor numérico entero (Integer).;Proposed;Atributo numérico de combate.;DigiDB.csv (Atk);;
req-07;¿Cuál es el valor de defensa física (Def) de un Digimon?;Un valor numérico entero (Integer).;Proposed;Atributo numérico de combate.;DigiDB.csv (Def);;
req-08;¿Cuál es la inteligencia o ataque mágico (Int) de un Digimon?;Un valor numérico entero (Integer).;Proposed;Atributo numérico de combate.;DigiDB.csv (Int);;
req-09;¿Cuál es la velocidad (Spd) de un Digimon?;Un valor numérico entero (Integer).;Proposed;Determina el orden de turno.;DigiDB.csv (Spd);;
req-10;¿Cuántos puntos de habilidad (SP) tiene un Digimon para usar ataques?;Un valor numérico entero (Integer).;Proposed;Recurso para usar habilidades.;DigiDB.csv (SP);;
req-11;¿Qué es un Ataque o Habilidad (Move)?;Una acción de combate que consume SP y causa daño o efectos.;Proposed;Concepto central del dataset extendido.;DigimonMoves.csv (Move_Name);;
req-12;¿Cuál es el poder (Power) de un Ataque?;Un valor numérico que representa el daño base.;Proposed;Métrica de daño del ataque.;DigimonMoves.csv (Power);req-11;
req-13;¿Cuánto cuesta (SP Cost) utilizar un Ataque específico?;Un valor numérico que se resta de los SP del Digimon.;Proposed;Coste de la habilidad.;DigimonMoves.csv (SP_Cost);"req-10; req-11";
req-14;¿A qué atributo elemental pertenece un Ataque?;Fire, Water, Plant, Light, Dark, etc.;Proposed;Para calcular debilidades elementales.;DigimonMoves.csv (Move_Attribute);"req-04; req-11";
req-15;Un Digimon puede aprender o utilizar múltiples Ataques (Moves).;;Proposed;Relación de cardinalidad 1 a N entre entidades.;DigiDB.csv y DigimonMoves.csv;"req-01; req-11";
req-16;¿Un ataque es de tipo físico o mágico (Category)?;Físico (usa Atk) o Mágico/Inteligencia (usa Int).;Proposed;Define qué estadística defensiva aplicar.;DigimonMoves.csv (Category);"req-06; req-08";
req-17;Todo Digimon debe tener exactamente un Tipo (Type).;;Proposed;Restricción lógica de cardinalidad exacta 1.;DigiDB.csv (Type);req-03;
req-18;Todo Digimon debe tener exactamente un Atributo (Attribute).;;Proposed;Restricción lógica de cardinalidad exacta 1.;DigiDB.csv (Attribute);req-04;
req-19;"¿Cuánta ""Memoria"" (Memory) consume tener a este Digimon en el equipo?";Un valor entero numérico.;Proposed;Métrica de coste de equipo para el caso de uso 1.;DigiDB.csv (Memory);req-01;
req-20;El coste de SP de un ataque nunca puede ser mayor que el SP máximo del Digimon que lo usa.;;Proposed;Regla de negocio o axioma de la ontología.;Lógica de dominio combinada;"req-10; req-13";
